,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,2011-07-25 00:00:00-03:00,5.658584339938556,6.066819190979003,5.658584339938556,6.066819190979004,31200,0.0,0.0
1,2011-07-26 00:00:00-03:00,6.066819190979003,6.066819190979003,6.066819190979003,6.066819190979004,0,0.0,0.0
2,2011-07-27 00:00:00-03:00,6.066819190979003,6.066819190979003,6.066819190979003,6.066819190979004,0,0.0,0.0
3,2011-07-28 00:00:00-03:00,6.066819190979003,6.066819190979003,6.066819190979003,6.066819190979004,0,0.0,0.0
4,2011-07-29 00:00:00-03:00,6.066819190979003,6.066819190979003,6.066819190979003,6.066819190979004,0,0.0,0.0
5,2011-08-01 00:00:00-03:00,6.066819190979003,6.066819190979003,6.066819190979003,6.066819190979004,0,0.0,0.0
6,2011-08-02 00:00:00-03:00,6.066819190979003,6.066819190979003,6.066819190979003,6.066819190979004,0,0.0,0.0
7,2011-08-03 00:00:00-03:00,6.066819190979003,6.066819190979003,6.066819190979003,6.066819190979004,0,0.0,0.0
8,2011-08-04 00:00:00-03:00,6.066819190979003,6.066819190979003,6.066819190979003,6.066819190979004,0,0.0,0.0
9,2011-08-05 00:00:00-03:00,6.066819190979003,6.066819190979003,6.066819190979003,6.066819190979004,0,0.0,0.0
10,2011-08-08 00:00:00-03:00,6.066819190979003,6.066819190979003,6.066819190979003,6.066819190979004,0,0.0,0.0
11,2011-08-09 00:00:00-03:00,6.066819190979003,6.066819190979003,6.066819190979003,6.066819190979004,0,0.0,0.0
12,2011-08-10 00:00:00-03:00,6.066819190979003,6.066819190979003,6.066819190979003,6.066819190979004,0,0.0,0.0
13,2011-08-11 00:00:00-03:00,6.066819190979003,6.066819190979003,6.066819190979003,6.066819190979004,0,0.0,0.0
14,2011-08-12 00:00:00-03:00,6.066819190979003,6.066819190979003,6.066819190979003,6.066819190979004,0,0.0,0.0
15,2011-08-15 00:00:00-03:00,6.066819190979003,6.066819190979003,6.066819190979003,6.066819190979004,0,0.0,0.0
16,2011-08-16 00:00:00-03:00,6.066819190979003,6.066819190979003,6.066819190979003,6.066819190979004,0,0.0,0.0
17,2011-08-17 00:00:00-03:00,6.066819190979003,6.066819190979003,6.066819190979003,6.066819190979004,0,0.0,0.0
18,2011-08-18 00:00:00-03:00,6.066819190979003,6.066819190979003,6.066819190979003,6.066819190979004,0,0.0,0.0
19,2011-08-19 00:00:00-03:00,6.066819190979003,6.066819190979003,6.066819190979003,6.066819190979004,0,0.0,0.0
20,2011-08-22 00:00:00-03:00,6.066819190979003,6.066819190979003,6.066819190979003,6.066819190979004,0,0.0,0.0
21,2011-08-23 00:00:00-03:00,6.066819190979003,6.066819190979003,6.066819190979003,6.066819190979004,0,0.0,0.0
22,2011-08-24 00:00:00-03:00,6.066819190979003,6.066819190979003,6.066819190979003,6.066819190979004,0,0.0,0.0
23,2011-08-25 00:00:00-03:00,6.066819190979003,6.066819190979003,6.066819190979003,6.066819190979004,0,0.0,0.0
