,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,daily_return,cumulative_return,moving_avg_5,moving_avg_20,volatility_20,price_change,Day,Month,Year,Weekday
20,2011-08-22 00:00:00-03:00,6.07349967956543,6.07349967956543,6.07349967956543,6.07349967956543,0,0.0,0.0,0.0,1.0,6.07349967956543,6.07349967956543,0.0,0.0,22,8,2011,Monday
21,2011-08-23 00:00:00-03:00,6.07349967956543,6.07349967956543,6.07349967956543,6.07349967956543,0,0.0,0.0,0.0,1.0,6.07349967956543,6.07349967956543,0.0,0.0,23,8,2011,Tuesday
22,2011-08-24 00:00:00-03:00,6.07349967956543,6.07349967956543,6.07349967956543,6.07349967956543,0,0.0,0.0,0.0,1.0,6.07349967956543,6.07349967956543,0.0,0.0,24,8,2011,Wednesday
23,2011-08-25 00:00:00-03:00,6.07349967956543,6.07349967956543,6.07349967956543,6.07349967956543,0,0.0,0.0,0.0,1.0,6.07349967956543,6.07349967956543,0.0,0.0,25,8,2011,Thursday
24,2011-08-26 00:00:00-03:00,6.07349967956543,6.07349967956543,6.07349967956543,6.07349967956543,0,0.0,0.0,0.0,1.0,6.07349967956543,6.07349967956543,0.0,0.0,26,8,2011,Friday
25,2011-08-29 00:00:00-03:00,6.07349967956543,6.07349967956543,6.07349967956543,6.07349967956543,0,0.0,0.0,0.0,1.0,6.07349967956543,6.07349967956543,0.0,0.0,29,8,2011,Monday
26,2011-08-30 00:00:00-03:00,6.07349967956543,6.07349967956543,6.07349967956543,6.07349967956543,0,0.0,0.0,0.0,1.0,6.07349967956543,6.07349967956543,0.0,0.0,30,8,2011,Tuesday
27,2011-08-31 00:00:00-03:00,6.07349967956543,6.07349967956543,6.07349967956543,6.07349967956543,0,0.0,0.0,0.0,1.0,6.07349967956543,6.07349967956543,0.0,0.0,31,8,2011,Wednesday
28,2011-09-01 00:00:00-03:00,6.07349967956543,6.07349967956543,6.07349967956543,6.07349967956543,0,0.0,0.0,0.0,1.0,6.07349967956543,6.07349967956543,0.0,0.0,1,9,2011,Thursday
29,2011-09-02 00:00:00-03:00,6.07349967956543,6.07349967956543,6.07349967956543,6.07349967956543,0,0.0,0.0,0.0,1.0,6.07349967956543,6.07349967956543,0.0,0.0,2,9,2011,Friday
30,2011-09-05 00:00:00-03:00,6.07349967956543,6.07349967956543,6.07349967956543,6.07349967956543,0,0.0,0.0,0.0,1.0,6.07349967956543,6.07349967956543,0.0,0.0,5,9,2011,Monday
31,2011-09-06 00:00:00-03:00,6.07349967956543,6.07349967956543,6.07349967956543,6.07349967956543,0,0.0,0.0,0.0,1.0,6.07349967956543,6.07349967956543,0.0,0.0,6,9,2011,Tuesday
32,2011-09-08 00:00:00-03:00,6.07349967956543,6.07349967956543,6.07349967956543,6.07349967956543,0,0.0,0.0,0.0,1.0,6.07349967956543,6.07349967956543,0.0,0.0,8,9,2011,Thursday
33,2011-09-09 00:00:00-03:00,6.07349967956543,6.07349967956543,6.07349967956543,6.07349967956543,0,0.0,0.0,0.0,1.0,6.07349967956543,6.07349967956543,0.0,0.0,9,9,2011,Friday
34,2011-09-12 00:00:00-03:00,6.07349967956543,6.07349967956543,6.07349967956543,6.07349967956543,0,0.0,0.0,0.0,1.0,6.07349967956543,6.07349967956543,0.0,0.0,12,9,2011,Monday
35,2011-09-13 00:00:00-03:00,6.07349967956543,6.07349967956543,6.07349967956543,6.07349967956543,0,0.0,0.0,0.0,1.0,6.07349967956543,6.07349967956543,0.0,0.0,13,9,2011,Tuesday
36,2011-09-14 00:00:00-03:00,6.07349967956543,6.07349967956543,6.07349967956543,6.07349967956543,0,0.0,0.0,0.0,1.0,6.07349967956543,6.07349967956543,0.0,0.0,14,9,2011,Wednesday
37,2011-09-15 00:00:00-03:00,6.07349967956543,6.07349967956543,6.07349967956543,6.07349967956543,0,0.0,0.0,0.0,1.0,6.07349967956543,6.07349967956543,0.0,0.0,15,9,2011,Thursday
